bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,4,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,920,192,188
bitcoinunits.cpp,bitcoinunits.cpp,1380,4,3
clientmodel.cpp,clientmodel.cpp,1752,208,63
coincontroldialog.cpp,coincontroldialog.cpp,4044,4,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,372,4,3
csvmodelwriter.cpp,csvmodelwriter.cpp,300,52,48
editaddressdialog.cpp,editaddressdialog.cpp,808,8,5
guiutil.cpp,guiutil.cpp,1584,8,5
intro.cpp,intro.cpp,1012,204,158
networkstyle.cpp,networkstyle.cpp,240,20,16
notificator.cpp,notificator.cpp,304,4,3
openuridialog.cpp,openuridialog.cpp,1632,4,3
optionsdialog.cpp,optionsdialog.cpp,1376,4,3
optionsmodel.cpp,optionsmodel.cpp,1264,168,29
paymentrequestplus.cpp,paymentrequestplus.cpp,688,24,20
paymentserver.cpp,paymentserver.cpp,3884,148,74
peertablemodel.cpp,peertablemodel.cpp,1284,88,45
platformstyle.cpp,platformstyle.cpp,496,116,112
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,4,3
qvaluecombobox.cpp,qvaluecombobox.cpp,112,4,3
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2700,4,3
rpcconsole.cpp,rpcconsole.cpp,3452,380,92
splashscreen.cpp,splashscreen.cpp,524,44,32
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1208,4,3
transactiondesc.cpp,transactiondesc.cpp,8804,4,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1920,4,3
transactionrecord.cpp,transactionrecord.cpp,1888,4,3
transactiontablemodel.cpp,transactiontablemodel.cpp,5384,696,98
utilitydialog.cpp,utilitydialog.cpp,2340,1416,1412
walletmodel.cpp,walletmodel.cpp,11000,140,40
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1504,4,3
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
paymentservertests.cpp,paymentservertests.cpp,1832,32,26
test_main.cpp,test_main.cpp,88,172,26
uritests.cpp,uritests.cpp,32,4,3
blockchain.cpp,blockchain.cpp,2100,2168,246
client.cpp,client.cpp,144,220,114
mining.cpp,mining.cpp,1004,1676,175
misc.cpp,misc.cpp,576,620,73
net.cpp,net.cpp,480,668,79
protocol.cpp,protocol.cpp,256,380,136
rawtransaction.cpp,rawtransaction.cpp,1012,1176,188
server.cpp,server.cpp,544,640,130
bitcoinconsensus.cpp,bitcoinconsensus.cpp,220,236,37
interpreter.cpp,interpreter.cpp,2072,1848,322
script.cpp,script.cpp,2964,16,12
script_error.cpp,script_error.cpp,680,28,15
sigcache.cpp,sigcache.cpp,124,28,9
sign.cpp,sign.cpp,612,780,150
standard.cpp,standard.cpp,760,720,135
cleanse.cpp,cleanse.cpp,1808,28,25
DoS_tests.cpp,DoS_tests.cpp,60,76,59
accounting_tests.cpp,accounting_tests.cpp,40,36,33
addrman_tests.cpp,addrman_tests.cpp,76,148,59
allocator_tests.cpp,allocator_tests.cpp,96,8,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,8,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,108,112,81
bloom_tests.cpp,bloom_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,24,664,20
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,112,5
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,144,40,37
main_tests.cpp,main_tests.cpp,112,124,8
mempool_tests.cpp,mempool_tests.cpp,8,4,3
merkle_tests.cpp,merkle_tests.cpp,364,364,364
miner_tests.cpp,miner_tests.cpp,1348,1552,1339
miner_tests.cpp,miner_tests.cpp,1348,1552,1339
multisig_tests.cpp,multisig_tests.cpp,108,4,3
netbase_tests.cpp,netbase_tests.cpp,4,60,3
pmt_tests.cpp,pmt_tests.cpp,44,36,32
random_tests.cpp,random_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,8,4,3
rpc_tests.cpp,rpc_tests.cpp,96,72,69
sanity_tests.cpp,sanity_tests.cpp,108,4,3
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,148,44,41
script_tests.cpp,script_tests.cpp,152,88,44
scriptnum_tests.cpp,scriptnum_tests.cpp,532,700,333
serialize_tests.cpp,serialize_tests.cpp,4,100,3
sighash_tests.cpp,sighash_tests.cpp,372,260,153
sigopcount_tests.cpp,sigopcount_tests.cpp,108,4,3
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
torcontrol_tests.cpp,torcontrol_tests.cpp,84,84,78
transaction_tests.cpp,transaction_tests.cpp,232,128,125
uint256_tests.cpp,uint256_tests.cpp,868,1600,67
util_tests.cpp,util_tests.cpp,8,1184,5
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,2752,1836,1770
univalue_read.cpp,univalue_read.cpp,5360,5360,5360
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
no_nul.cpp,no_nul.cpp,40,40,40
object.cpp,object.cpp,888,904,777
test_json.cpp,test_json.cpp,60,60,60
unitester.cpp,unitester.cpp,5312,5312,5312
db.cpp,db.cpp,2476,552,529
rpcdump.cpp,rpcdump.cpp,596,2312,95
rpcwallet.cpp,rpcwallet.cpp,8456,5404,94
wallet.cpp,wallet.cpp,296,448,120
walletdb.cpp,walletdb.cpp,1740,1076,282
wallet_tests.cpp,wallet_tests.cpp,156,200,152
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,200,4,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,628,16,12
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,1048,220,124
