addrman.cpp,addrman.cpp,18584,23964,1340
alert.cpp,alert.cpp,18056,25480,1340
bitcoind.cpp,bitcoind.cpp,28036,42576,1755
chainparams.cpp,chainparams.cpp,50512,37436,1340
checkpoints.cpp,checkpoints.cpp,25488,35472,1377
clientversion.cpp,clientversion.cpp,152,152,152
crypter.cpp,crypter.cpp,15200,29164,1549
db.cpp,db.cpp,17616,24112,1340
hash.cpp,hash.cpp,5132,11132,1549
init.cpp,init.cpp,35152,46164,1412
key.cpp,key.cpp,8612,11908,1549
keystore.cpp,keystore.cpp,14396,19616,1549
main.cpp,main.cpp,45752,63028,1755
miner.cpp,miner.cpp,27196,43784,1755
net.cpp,net.cpp,26188,42980,1340
netbase.cpp,netbase.cpp,21068,24788,1340
noui.cpp,noui.cpp,5600,40496,1340
protocol.cpp,protocol.cpp,10288,20336,1340
random.cpp,random.cpp,8708,12980,1340
rpcblockchain.cpp,rpcblockchain.cpp,28596,37924,1755
rpcclient.cpp,rpcclient.cpp,5660,15484,1340
rpcdump.cpp,rpcdump.cpp,35616,43696,1340
rpcmining.cpp,rpcmining.cpp,29144,44212,1755
rpcmisc.cpp,rpcmisc.cpp,29400,43868,1340
rpcnet.cpp,rpcnet.cpp,27512,36236,1755
rpcprotocol.cpp,rpcprotocol.cpp,5920,8664,1340
rpcrawtransaction.cpp,rpcrawtransaction.cpp,29912,43832,1340
rpcserver.cpp,rpcserver.cpp,30900,44872,1755
rpcwallet.cpp,rpcwallet.cpp,38672,46972,1549
sync.cpp,sync.cpp,7356,8892,1340
timedata.cpp,timedata.cpp,9228,13464,1340
txmempool.cpp,txmempool.cpp,27944,35472,1755
util.cpp,util.cpp,10732,29716,1340
wallet.cpp,wallet.cpp,37120,49840,1549
walletdb.cpp,walletdb.cpp,37336,46132,1549
scrypt.cpp,scrypt.cpp,7860,28408,3990
addressbookpage.cpp,addressbookpage.cpp,1368,1752,192
addresstablemodel.cpp,addresstablemodel.cpp,2444,2048,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1176,1032,207
bitcoin.cpp,bitcoin.cpp,1792,2000,112
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,704,672,53
bitcoingui.cpp,bitcoingui.cpp,3944,6156,229
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1000,940,302
clientmodel.cpp,clientmodel.cpp,1016,1112,200
coincontroldialog.cpp,coincontroldialog.cpp,2792,2108,171
coincontroltreewidget.cpp,coincontroltreewidget.cpp,472,268,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,608,342
guiutil.cpp,guiutil.cpp,976,760,161
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,856,932,68
optionsmodel.cpp,optionsmodel.cpp,668,624,124
overviewpage.cpp,overviewpage.cpp,2120,1756,161
paymentserver.cpp,paymentserver.cpp,3096,384,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,392,200,154
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,2120,1560,268
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4080,3164,165
sendcoinsentry.cpp,sendcoinsentry.cpp,1896,1692,180
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1672,1668,651
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1104,1052,430
transactiondesc.cpp,transactiondesc.cpp,7984,780,175
transactiondescdialog.cpp,transactiondescdialog.cpp,360,204,84
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1092,840,171
transactionrecord.cpp,transactionrecord.cpp,556,688,203
transactiontablemodel.cpp,transactiontablemodel.cpp,3656,3400,311
transactionview.cpp,transactionview.cpp,3120,2648,308
walletmodel.cpp,walletmodel.cpp,9436,2532,264
test_main.cpp,test_main.cpp,84,76,45
uritests.cpp,uritests.cpp,32,672,13
script.cpp,script.cpp,2800,42640,640
Checkpoints_tests.cpp,Checkpoints_tests.cpp,8,23724,5
accounting_tests.cpp,accounting_tests.cpp,40,36,33
allocator_tests.cpp,allocator_tests.cpp,96,96,96
base32_tests.cpp,base32_tests.cpp,8,8,8
base58_tests.cpp,base58_tests.cpp,28,28,28
base64_tests.cpp,base64_tests.cpp,8,8,8
getarg_tests.cpp,getarg_tests.cpp,32,32,32
key_tests.cpp,key_tests.cpp,44,44,44
mruset_tests.cpp,mruset_tests.cpp,48,48,48
netbase_tests.cpp,netbase_tests.cpp,8,8,8
serialize_tests.cpp,serialize_tests.cpp,8,8,8
sigopcount_tests.cpp,sigopcount_tests.cpp,8,8,8
test_bitcoin.cpp,test_bitcoin.cpp,104,44,25
uint256_tests.cpp,uint256_tests.cpp,868,8,7
wallet_tests.cpp,wallet_tests.cpp,148,132,63
gen.cpp,gen.cpp,4124,3168,2701
univalue.cpp,univalue.cpp,2192,3132,397
univalue_read.cpp,univalue_read.cpp,6440,4088,2321
univalue_write.cpp,univalue_write.cpp,5004,3872,1805
