addrman.cpp,addrman.cpp,24772,23988,2421
alert.cpp,alert.cpp,25520,37812,1537
bloom.cpp,bloom.cpp,32960,51776,4786
chainparams.cpp,chainparams.cpp,31108,64112,1588
checkpoints.cpp,checkpoints.cpp,41684,45988,1588
core.cpp,core.cpp,28912,31864,1517
crypter.cpp,crypter.cpp,21260,37488,1407
db.cpp,db.cpp,24896,50196,1517
hash.cpp,hash.cpp,8724,10112,1430
init.cpp,init.cpp,49456,66052,1533
kernel.cpp,kernel.cpp,50316,51696,1517
key.cpp,key.cpp,13464,16716,1407
keystore.cpp,keystore.cpp,20512,29100,1407
main.cpp,main.cpp,60768,87064,1588
miner.cpp,miner.cpp,43252,62308,1517
net.cpp,net.cpp,42712,66908,1576
netbase.cpp,netbase.cpp,25836,25468,2421
noui.cpp,noui.cpp,11320,60972,1533
protocol.cpp,protocol.cpp,20640,20368,1407
rpcblockchain.cpp,rpcblockchain.cpp,44832,65776,1517
rpcclient.cpp,rpcclient.cpp,18360,19444,1517
rpcdump.cpp,rpcdump.cpp,51300,61700,1517
rpcmining.cpp,rpcmining.cpp,44792,64228,2321
rpcnet.cpp,rpcnet.cpp,43740,60300,1588
rpcprotocol.cpp,rpcprotocol.cpp,11408,15744,1517
rpcrawtransaction.cpp,rpcrawtransaction.cpp,44852,61584,1592
rpcserver.cpp,rpcserver.cpp,45916,62668,2321
rpcwallet.cpp,rpcwallet.cpp,54052,69172,1517
script.cpp,script.cpp,36756,67464,2444
sync.cpp,sync.cpp,11616,16256,1533
txmempool.cpp,txmempool.cpp,30268,46732,1517
util.cpp,util.cpp,32236,34148,6426
version.cpp,version.cpp,172,172,88
wallet.cpp,wallet.cpp,51560,88092,1517
walletdb.cpp,walletdb.cpp,53128,62332,1517
scrypt.cpp,scrypt.cpp,7860,41956,3990
json_spirit_reader.cpp,json_spirit_reader.cpp,420,420,420
json_spirit_value.cpp,json_spirit_value.cpp,4,4,4
json_spirit_writer.cpp,json_spirit_writer.cpp,196,196,196
addresstablemodel.cpp,addresstablemodel.cpp,2436,2496,274
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1180,956,207
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,728,672,211
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1036,988,298
clientmodel.cpp,clientmodel.cpp,1024,1440,169
coincontroldialog.cpp,coincontroldialog.cpp,2724,2532,198
coincontroltreewidget.cpp,coincontroltreewidget.cpp,468,284,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,604,342
guiutil.cpp,guiutil.cpp,952,652,189
monitoreddatamapper.cpp,monitoreddatamapper.cpp,196,196,196
notificator.cpp,notificator.cpp,312,304,251
optionsmodel.cpp,optionsmodel.cpp,648,1100,104
paymentserver.cpp,paymentserver.cpp,2920,384,56
peertablemodel.cpp,peertablemodel.cpp,996,1000,443
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,200,154
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,2092,2248,367
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1080,1080,859
transactiondesc.cpp,transactiondesc.cpp,8004,532,97
transactionrecord.cpp,transactionrecord.cpp,624,2188,85
transactiontablemodel.cpp,transactiontablemodel.cpp,3284,3092,518
walletmodel.cpp,walletmodel.cpp,9280,2676,282
test_main.cpp,test_main.cpp,84,76,45
uritests.cpp,uritests.cpp,32,564,13
Checkpoints_tests.cpp,Checkpoints_tests.cpp,8,36232,5
DoS_tests.cpp,DoS_tests.cpp,60,48,45
accounting_tests.cpp,accounting_tests.cpp,40,136,34
allocator_tests.cpp,allocator_tests.cpp,96,96,96
base32_tests.cpp,base32_tests.cpp,8,8,8
base58_tests.cpp,base58_tests.cpp,28,28,28
base64_tests.cpp,base64_tests.cpp,8,8,8
bignum_tests.cpp,bignum_tests.cpp,28,28,28
bip32_tests.cpp,bip32_tests.cpp,112,112,112
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,8,8
hmac_tests.cpp,hmac_tests.cpp,120,120,120
key_tests.cpp,key_tests.cpp,44,28,27
miner_tests.cpp,miner_tests.cpp,1364,1364,1364
mruset_tests.cpp,mruset_tests.cpp,48,48,48
multisig_tests.cpp,multisig_tests.cpp,12,12,12
netbase_tests.cpp,netbase_tests.cpp,8,8,8
rpc_tests.cpp,rpc_tests.cpp,92,92,92
script_P2SH_tests.cpp,script_P2SH_tests.cpp,48,59312,27
script_tests.cpp,script_tests.cpp,80,108,62
sigopcount_tests.cpp,sigopcount_tests.cpp,8,8,8
transaction_tests.cpp,transaction_tests.cpp,16,16,16
uint256_tests.cpp,uint256_tests.cpp,868,8,7
util_tests.cpp,util_tests.cpp,12,12,12
wallet_tests.cpp,wallet_tests.cpp,136,128,69
